City,City Latitude,City Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,Venue Rating
San Francisco,37.7875138,-122.407159,Maison Margiela,551cfcaf498e23f2c0115449,37.78826107452542,-122.40576506157396,Boutique,9.2
San Francisco,37.7875138,-122.407159,Saint Laurent,528d4fe211d2543b7663f4fd,37.78777380886315,-122.40541234778567,Boutique,9.2
San Francisco,37.7875138,-122.407159,Williams-Sonoma,4aa45625f964a5207b4620e3,37.78837660319474,-122.40744602791888,Kitchen Supply Store,9.1
San Francisco,37.7875138,-122.407159,Tiffany & Co.,4a791992f964a520efe61fe3,37.7885979,-122.4077075,Jewelry Store,9.0
San Francisco,37.7875138,-122.407159,The Archive,4b4bd8caf964a5207ba926e3,37.789494095008216,-122.40576567208811,Men's Store,9.4
San Francisco,37.7875138,-122.407159,James Colgan Union Square,516ddbdee4b03303eba849c8,37.787656332505776,-122.40632612582705,Salon / Barbershop,8.7
San Francisco,37.7875138,-122.407159,AllSaints,4c802f05d92ea093da9c3572,37.78806648934887,-122.40569240319239,Clothing Store,8.7
San Francisco,37.7875138,-122.407159,Louis Vuitton,5086cce64c7f15b6c84dbc67,37.7874181,-122.4067268,Boutique,8.7
San Francisco,37.7875138,-122.407159,Chanel Boutique,4ee551cb61aff5a342a411eb,37.78790143329766,-122.40602022357814,Boutique,8.7
San Francisco,37.7875138,-122.407159,UNIQLO,50043438e4b0f448ea4f447f,37.78584993862771,-122.4080414382703,Clothing Store,8.7
Denver,39.75177015,-105.01387275739978,Mind Eraser,4df91800b61c6b97d1f1c937,39.74956155734978,-105.01388726041263,Theme Park Ride / Attraction,8.3
Denver,39.75177015,-105.01387275739978,Children's Museum of Denver,4b001557f964a520af3a22e3,39.748706891446325,-105.01706134102001,Museum,8.6
Denver,39.75177015,-105.01387275739978,REI,4b038029f964a5209d4f22e3,39.755622,-105.009853,Sporting Goods Shop,9.3
Denver,39.75177015,-105.01387275739978,Downtown Aquarium,4bc1fac24cdfc9b6854c9521,39.75182207730285,-105.0139394354768,Aquarium,7.7
Denver,39.75177015,-105.01387275739978,Confluence Park,4a35a988f964a520479d1fe3,39.75448692690256,-105.00856943810193,Park,8.6
Denver,39.75177015,-105.01387275739978,My Brother's Bar,40e0b100f964a520c0031fe3,39.75623169184121,-105.00922029546224,Pub,9.0
Denver,39.75177015,-105.01387275739978,Boomerang,4df7a6f162e141c90765629f,39.748359799818886,-105.0143636281071,Theme Park Ride / Attraction,7.9
Denver,39.75177015,-105.01387275739978,Sapor Coffee & Concepts,5aec620d98fbfc002cf27bc5,39.756985567336415,-105.01784530648611,Coffee Shop,9.1
Denver,39.75177015,-105.01387275739978,Sushi Sasa,49f7cdd6f964a520e06c1fe3,39.75670112214983,-105.00936667368005,Sushi Restaurant,9.0
Denver,39.75177015,-105.01387275739978,Ball Arena,49e17e5ef964a520cf611fe3,39.7487,-105.0076,Basketball Stadium,8.7
Seattle,47.6049492,-122.3332737,Columbia Tower Club,451c049bf964a520803a1fe3,47.60450651693834,-122.33048379421234,Social Club,8.9
Seattle,47.6049492,-122.3332737,Kimpton Hotel Monaco Seattle,457945ebf964a520cc3e1fe3,47.606932,-122.3341,Hotel,8.6
Seattle,47.6049492,-122.3332737,Tat's Delicatessen,455c500ef964a5206e3d1fe3,47.601901016106545,-122.3324232258795,Sandwich Place,8.7
Seattle,47.6049492,-122.3332737,Smith Tower Observation Bar,5ab5e04ce679bc6844b3448d,47.602012114767625,-122.33179258432052,Cocktail Bar,8.6
Seattle,47.6049492,-122.3332737,Luly Yang Couture,4b0dc329f964a520954f23e3,47.608041474108646,-122.33437189377545,Bridal Shop,8.6
Seattle,47.6049492,-122.3332737,Benaroya Hall,41f98080f964a5203b1f1fe3,47.60795746772859,-122.33645572511435,Concert Hall,9.0
Seattle,47.6049492,-122.3332737,Seattle Art Museum,42a63500f964a5200a251fe3,47.60705223081685,-122.33781915742607,Art Museum,8.9
Seattle,47.6049492,-122.3332737,The Bar Shoppe,551366a2498e757161a41151,47.601737052225594,-122.33312973915179,Cocktail Bar,8.5
Seattle,47.6049492,-122.3332737,Georgian Room,40b13b00f964a52087f61ee3,47.60810471111521,-122.33400367228325,New American Restaurant,8.4
Seattle,47.6049492,-122.3332737,Bad Bishop,5bca9e08872f7d002c49d048,47.602835,-122.33427,Bar,8.0
Los Angeles,34.0428494,-118.2476732,The Varnish,4a2774a9f964a52080911fe3,34.044867,-118.24956,Speakeasy,8.8
Los Angeles,34.0428494,-118.2476732,Raw Materials Art Supplies,4b845136f964a520612e31e3,34.04366762961458,-118.25015991926192,Arts & Crafts Store,8.5
Los Angeles,34.0428494,-118.2476732,Wake and Late,580884e838fa828547f03c81,34.045133613669336,-118.24967302908927,Restaurant,8.8
Los Angeles,34.0428494,-118.2476732,Los Angeles Flower Market,4b4221ddf964a52056cd25e3,34.04047777060825,-118.24986706732301,Flower Shop,9.0
Los Angeles,34.0428494,-118.2476732,Cole's,431e2d80f964a52081271fe3,34.044871805518234,-118.24948853420624,Bar,8.5
Los Angeles,34.0428494,-118.2476732,Moskatel's,4d9e474cf941a35df5e056d5,34.040795173709455,-118.24845623090681,Arts & Crafts Store,8.3
Los Angeles,34.0428494,-118.2476732,Poppy + Rose,53b5c7a8498ecdc1647bb68f,34.040564902353566,-118.24994252070765,Breakfast Spot,8.5
Los Angeles,34.0428494,-118.2476732,Sonoratown,5751f4e0cd10ed687cf31b9a,34.04167953537247,-118.25209517053675,Taco Place,9.0
Los Angeles,34.0428494,-118.2476732,Mignon Wine & Cheese Bar,4c107a76f1b6a5931c0a7c27,34.04475933846614,-118.2492543468232,Wine Bar,8.1
Los Angeles,34.0428494,-118.2476732,Evoke Yoga,52488fb711d2b17bfa85e57b,34.043827361616465,-118.25201988685423,Yoga Studio,8.6
New York City,42.649977,-73.7519821,Stacks Espresso Bar - Downtown,5829d0653398744fe49d3d79,42.650256669356864,-73.75064496156465,Café,8.7
New York City,42.649977,-73.7519821,City Beer Hall,4ddebae4227106a58b92825b,42.64965977043139,-73.75478731339696,Pub,8.8
New York City,42.649977,-73.7519821,Renaissance Albany Hotel,55f6d343498edb711f07a4e1,42.65062486985366,-73.7556865811348,Hotel,9.2
New York City,42.649977,-73.7519821,Cider Belly Donuts,53e22f5b498ea67f3a34dd04,42.650487161215814,-73.75235015038086,Donut Shop,8.4
New York City,42.649977,-73.7519821,Stagecoach Coffee,4b46190ff964a5204b1626e3,42.65012789937681,-73.75311505724184,Coffee Shop,8.1
New York City,42.649977,-73.7519821,dp An American Brasserie,4b490d63f964a520c06326e3,42.65315449766958,-73.75150243835702,American Restaurant,8.5
New York City,42.649977,-73.7519821,Public House 42,545ed831498e128ccabe11b8,42.65017137815711,-73.75649236100895,English Restaurant,8.5
New York City,42.649977,-73.7519821,Speakeasy,51bd2fb2498eecb520ea8dc2,42.649590424527524,-73.75484759670103,Speakeasy,7.9
New York City,42.649977,-73.7519821,Yono's Restaurant,4b723469f964a520ce732de3,42.65330385193715,-73.75157585817958,New American Restaurant,8.2
New York City,42.649977,-73.7519821,The Hollow,522bc57a11d2b45f00da95da,42.652299,-73.750831,American Restaurant,7.9
Chicago,41.881644,-87.63209480891294,Kimpton Gray Hotel,57ac13a4cd10a2bea58adcac,41.88087481612714,-87.63175159692764,Hotel,9.0
Chicago,41.881644,-87.63209480891294,Cafecito,514356cce4b0b77bf1dc5dc8,41.882271,-87.633616,Cuban Restaurant,8.9
